9620950	Tsai HF, Chang YC, Washburn RG, Wheeler MH, Kwon-Chung KJ. (1998). "The developmentally regulated alb1 gene of Aspergillus fumigatus: its role in modulation of conidial morphology and virulence." J Bacteriol 180(12): 3031-3038. .
7556057	Rohe M, Gierlich A, Hermann H, Hahn M, Schmidt B, Rosahl S, Knogge W. (1995). "The race-specific elicitor, NIP1, from the barley pathogen, Rhynchosporium secalis, determines avirulence on host plants of the Rrs1 resistance genotype." EMBO J 14(17): 4168-4177. .
10627051	Cheng YQ, Ahn JH, Walton JD. (1999). "A putative branched-chain-amino-acid transaminase gene required for HC-toxin biosynthesis and pathogenicity in Cochliobolus carbonum." Microbiology 145 ( Pt 12)(): 3539-3546. .
24372517	Leone Roberti Maggiore U, Remorgida V, Scala C, Tafi E, Venturini PL, Ferrero S. (2014). "Desogestrel-only contraceptive pill versus sequential contraceptive vaginal ring in the treatment of rectovaginal endometriosis infiltrating the rectum: a prospective open-label comparative study." Acta Obstet Gynecol Scand 93(3): 239-247. 10.1111/aogs.12326.
21909277	Elías-Villalobos A, Fernández-Álvarez A, Ibeas JI. (2011). "The general transcriptional repressor Tup1 is required for dimorphism and virulence in a fungal plant pathogen." PLoS Pathog 7(9): e1002235. 10.1371/journal.ppat.1002235.
12481998	Soanes DM, Kershaw MJ, Cooley RN, Talbot NJ. (2002). "Regulation of the MPG1 hydrophobin gene in the rice blast fungus Magnaporthe grisea." Mol Plant Microbe Interact 15(12): 1253-1267. 10.1094/mpmi.2002.15.12.1253.
9100386	Keith LW, Boyd C, Keen NT, Partridge JE. (1997). "Comparison of avrD alleles from Pseudomonas syringae pv. glycinea." Mol Plant Microbe Interact 10(3): 416-422. 10.1094/mpmi.1997.10.3.416.
12228810	Jain S, Akiyama K, Mae K, Ohguchi T, Takata R. (2002). "Targeted disruption of a G protein alpha subunit gene results in reduced pathogenicity in Fusarium oxysporum." Curr Genet 41(6): 407-413. 10.1007/s00294-002-0322-y.
3049552	Tamaki S, Dahlbeck D, Staskawicz B, Keen NT. (1988). "Characterization and expression of two avirulence genes cloned from Pseudomonas syringae pv. glycinea." J Bacteriol 170(10): 4846-4854. .
11082066	Sebghati TS, Engle JT, Goldman WE. (2000). "Intracellular parasitism by Histoplasma capsulatum: fungal virulence and calcium dependence." Science 290(5495): 1368-1372. 10.1126/science.290.5495.1368.
