PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
3	PHI:3	Entrez Protein	AAA79885		SB111	PGN1			5017	Cochliobolus carbonum	SB111	Leaf spot	Monocot	4577	Maize	Endopolygalacturonase	GO:0004650	GO		Unaffected pathogenicity		No	No	No					pectin				gene disruption		MU; JA	2152162	PubMed		Expression during all infection stages
5	PHI:5	Uniprot	Q8J181	AF463528		Avr1-CO39			148305	Magnaporthe grisea		Rice Blast	Monocot	4530	Rice	Effector protein				Reduced virulence		NA	NA	NA											MU	2016048	PubMed		
7	PHI:7	Entrez Protein	CAA42824		race 5	AVR9			5499	Cladosporium fulvum		Leaf mold	Dicot	4081	Tomato	Effector protein				Effector (plant avirulence determinant)													gene deletion		MU	1799694; 8208859; 9119054; 9625714; 9924993; 10394902; 10447668; 11277429; 11297411; 12695849	PubMed		
10	PHI:10	Uniprot	B8RCU0	ACL14418		BE			5270	Ustilago maydis		Corn Smut	Monocot	4577	Maize	Transcription factor				Loss of pathogenicity 															MU	1739973	PubMed		Identification by complementation
11	PHI:11	Uniprot	Q99111	M84179		BW			5270	Ustilago maydis		Corn Smut	Monocot	4577	Maize	Transcription factor				Loss of pathogenicity 															MU	1739973	PubMed		Identification by complementation
12	PHI:12	Entrez Protein	AAA33023		SB111	HTS1			5017	Cochliobolus carbonum	SB111	Leaf spot	Monocot	4577	Maize	Cylic Peptide Synthase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption		TKB; JA	11607305; 10656588 	PubMed		
13	PHI:13	Uniprot	Q04701	AAA33338		PELA			140110	Nectria haematococca		Root Rot	Dicot	3888	Pea	Pectate lyase	4.2.2.2	EC		Unaffected pathogenicity															MU	1400187	PubMed		Expression on pea epicotyl (pectin)
14	PHI:14	Entrez Protein	AAB09711		clinical isolate	ADE2			5207	Cryptococcus neoformans	H99 (serotype A)	Cryptococcosis		6239	Nematode	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	
14	PHI:14	Entrez Protein	AAB09711		clinical isolate	ADE2			5207	Cryptococcus neoformans	H99 (serotype A)	Cryptococcosis		9986	Rabbit	Phosphoribosylaminoimidazole carboxylase	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		TKB; KHK	8406836	PubMed	10.1073/pnas.232568599	
15	PHI:15	Entrez Protein	AAA20128		Guy-11	MPG1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	Hydrophobin	GO:0009405, IMP; GO:0051701	GO		Reduced virulence		Yes	No Data	No Data									gene deletion		MU	8312740; 8755621; 12481998	PubMed	10.1105/tpc.5.11.1575	
16	PHI:16	Uniprot	P41801	AAB29433		parA1			4792	Phytophthora parasitica			Dicot	4113	Potato	Effector protein				Virulent															TKB	8274771	PubMed		
17	PHI:17	Entrez Protein	CAA43678		ATCC750	ACP			5482	Candida tropicalis	ATCC 750	Candidiasis		10090	Mouse	Acid proteinase	GO:0009405, IMP; GO:0004190	GO		Reduced virulence													gene disruption; complementation		TKB	7983570	PubMed		
18	PHI:18	Entrez Protein	CAA69643		Race 5	AVR4			5499	Cladosporium fulvum	Multiple alleles from numerous strains	Leaf mold	Dicot	4081	Tomato	Effector protein				Effector (plant avirulence determinant)													biochemical analysis; mutation: characterised; complementation		TKB	8114941; 9090881; 12481994; 12736265; 14769793; 15469522	PubMed	10.1074/jbc.M212196200;10.1074/jbc.M312594200	Expression during biotrophic growth
19	PHI:19	Entrez Protein	AAA17547		L210425	NMT			5207	Cryptococcus neoformans	H99	Cryptococcosis		9986	Rabbit	Myristoyl-CoA:protein N-myristoyltransferase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence			No Data	Yes			Heat sensitive						mutation: characterised		TKB; KHK	7991574	PubMed		Engineered temperature sensitive allele 
21	PHI:21	Uniprot	P41754	X89452		PCCUTINAS			4784	Phytophthora capsici		Phytophthora blight in cucurbits and solanaceous crops	Dicot	4072	Pepper (Capsicum annuum)	Cutinase and esterase activity				Reduced virulence									on host contact				other evidence	TKB		9508797 	PubMed	10.1094/Phyto-84-502	germinated conidia and penetratin pegs
22	PHI:22	Entrez Protein	AAA57469		518	UAC1			5270	Ustilago maydis		Corn smut	Monocot	4577	Maize	Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	Loss of pathogenicity 		See publication	See publication	See publication									gene disruption; complementation		MU	7995519	PubMed		
23	PHI:23	Uniprot	P49605	L33917		UBC1			5270	Ustilago maydis		Corn Smut	Monocot	4577	Maize	PKA regulatory subunit			cAMP signalling	Reduced virulence															MU	7995519	PubMed		
24	PHI:24	Entrez Protein	AAB09777			Avenacinase gene			29850	Gaeumannomyces graminis	var. avenae isolate A3	Take-all	Monocot	4564	Wheat	Avenacinase				Unaffected pathogenicity		No	No	No									gene disruption		MU	7824933	PubMed		Expression not determined
24	PHI:24	Entrez Protein	AAB09777			Avenacinase gene			29850	Gaeumannomyces graminis	var. avenae isolate A3	Take-all	Monocot	4498	Oat	Avenacinase	GO:0009405, IMP; GO:0044409; GO:0044412	GO		Loss of pathogenicity 		No	Yes	Yes									gene disruption		MU	7824933	PubMed		Expression not determined
25	PHI:25	Entrez Protein	CAJ29326		v23.1.3	AVRLM1			5022	Leptosphaeria maculans	v23.1.3	Phoma stem canker	Dicot	3708	Oil seed rape	Effector protein				Effector (plant avirulence determinant)													gene disruption	BH	TKB; AC	16556221	PubMed	10.1111/j.1365-2958.2006.05076.x	
26	PHI:26	Entrez Protein	CAA37820		B792	CaMDR1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Fungal efflux pump	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7591094	PubMed		
27	PHI:27	Entrez Protein	AAA77678			CAP20			5457	Colletotrichum gloeosporioides	Not defined	Anthracnose	Dicot	4081	Tomato	Appressorial wall	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 		No	Yes	No					avocado surface wax				gene disruption		TKB; JK	7756829	PubMed		Expression during host surface growth, invasion
27	PHI:27	Entrez Protein	AAA77678			CAP20			5457	Colletotrichum gloeosporioides	Not defined	Anthracnose	Dicot	3435	Avocado	Appressorial wall	GO:0009405, IMP; GO:0044409	GO		Loss of pathogenicity 		No	Yes	No					avocado surface wax				gene disruption		TKB; JK	7756829	PubMed		Tested on avocado fruits. Expression during host surface growth, invasion
31	PHI:31	Entrez Protein	BAA02707		IFO1060	CHS3			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Chitin Synthase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7479842	PubMed		
32	PHI:32	Uniprot	Q12619	CAA59938		OLE1			5037	Histoplasma capsulatum		Histoplasmosis (pulmonary disease)				Desaturase (delta-9)			membrane composition	Unaffected pathogenicity															MU	8538376	PubMed		
33	PHI:33	Entrez Protein	AAA68196		SC5314	PHR1			5476	Candida albicans	CAF3-1	Candidiasis		10090	Mouse	Membrane protein; pH responsive protein	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	7591097; 7823929	PubMed		
35	PHI:35	Entrez Protein	AAB69694		Guy11	CON7			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	Transcription factor	GO:0009405, IMP	GO		Reduced virulence													other evidence		MU		Not in PubMed		Sequence of rescued plasmid insertion
36	PHI:36	Entrez Protein	AAA93199			CPKA			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	70-15	Rice blast	Monocot	4530	Rice	PKA catalytic subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP	GO	cAMP signalling	Loss of pathogenicity 		Yes	Yes 	Yes	Wild type	Wild type	Wild type	Wild type					gene deletion		MU	8535140; 11006342 	PubMed	10.1105/tpc.7.11.1869	mutations in CPKA, are specific for pathogenicity, with deletion mutants of cpkA showing impaired appressorial penetration but efficient sporulation and mating
37	PHI:37	Entrez Protein	AAC37439		518	MYP1			5270	Ustilago maydis	518, 521	Corn smut	Monocot	4577	Maize	Mycelial Development	GO:0009405, IMP	GO		Reduced virulence	No												gene deletion		TKB	8647387	PubMed		
38	PHI:38	Entrez Protein	AAA86496		US238.1	NIP1			38038	Rhynchosporium secalis		Scald/leaf blotch	Monocot	112509	Barley	Effector protein				Effector (plant avirulence determinant)													other evidence		MU	7556057; 10497070; 12944393; 15497404	PubMed	10.1074/jbc.M308304200	
39	PHI:39	Entrez Protein	AAS60096			GP42/PEP13			67593	Phytophthora sojae		Root rot	Dicot	4043	Parsley	transglutaminase	GO:0003810, IDA	GO		Unaffected pathogenicity													other evidence	SK	MU; SH	7892267; 12485989; 12485989	PubMed		previously known as Phytophthora megasperma f. sp. glycinea
40	PHI:40	Entrez Protein	BAA18956		104-T	PKS1			5462	Colletotrichum lagenarium	104-T	Anthracnose	Dicot	3659	Cucumber	Polyketide synthase	GO:0009405, IMP; GO:0044409, IMP; GO:0042438	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No									complementation		MU	7500937; 10501004	PubMed		complementation in A.oryzae
41	PHI:41	Entrez Protein	AAA80239			PWL1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	Effector protein				Effector (plant avirulence determinant)													complementation		TKB; MU	8664503	PubMed		
42	PHI:42	Entrez Protein	AAA91019		4392-1-6	PWL2			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	4392-1-6	Rice blast	Monocot	4530	Rice	Effector protein				Effector (plant avirulence determinant)													complementation		MU	7549480	PubMed	10.1105/tpc.7.8.1221	Transfer into other strains by crossing
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4498	Oat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Porter cultivar
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Caldwell cultivar
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Marshall cultivar
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4550	Rye	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		Reduced virulence		No	No	Yes									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4577	Maize	Trichodiene synthase	GO:0045482	GO		Unaffected pathogenicity		No	No	No									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	Trichodiene synthase	GO:0009405, IMP; GO:0044412; GO:0045482	GO		Reduced virulence		No	No	Yes									gene disruption; complementation		MU; AB	8589414; 9274012; 10931910	PubMed		Wheaton cultivar
44	PHI:44	Entrez Protein	AAM90953		A18	TRI5			5518	Gibberella zeae (related: Fusarium graminearum)	PH-1	Fusarium ear blight	Dicot	3702	Arabidopsis thaliana	Trichodiene synthase		GO		Unaffected pathogenicity													gene deletion; biochemical analysis		AB; AC	8589414; 9274012; 10931910	PubMed	10.1111/j.1469-8137.2007.02333.x	
47	PHI:47	Entrez Protein	AAB06581			CAP64			5207	Cryptococcus neoformans	B4131	Cryptococcosis		10090	Mouse	Capsule formation	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; gene deletion; complementation		TKB; KHK	8675296	PubMed		
48	PHI:48	NULL	BAD91825   		T49	CnLAC1			5207	Cryptococcus neoformans	B-4476 and E2	Cryptococcosis		10090	Mouse	Laccase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	8760791; 14977977	PubMed		gene disruption, with  complementation and  gene disruption, no complementation
48	PHI:48	NULL	BAD91825   		T49	CnLAC1			5207	Cryptococcus neoformans	ATCC 208819 (Serotype D)	Cryptococcosis		6239	Nematode	Laccase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB; KHK	12438649	PubMed	10.1073/pnas.232568599	gene disruption, with  complementation and  gene disruption, no complementation
48	PHI:48	NULL	BAD91825   		T49	CnLAC1			5207	Cryptococcus neoformans	H99	Cryptococcosis		7137	Galleria mellonella		GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation	AI	SH; KHK	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
49	PHI:49	Entrez Protein	AAA67706		EP155	CPG1			5116	Cryphonectria parasitica	EP155	Chesnut blight	Dicot	134033	American Chestnut tree	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	11038529	PubMed		
52	PHI:52	Entrez Protein	AAB03415		GUY11	NUT1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	GATA transcription factor for nitrogen metabolism				Unaffected pathogenicity													gene disruption; complementation		MU	8757395	PubMed		partial gene disruption with complementation in A. nidulans
52	PHI:52	Entrez Protein	AAB03415		GUY11	NUT1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	112509	Barley	Global regulation of nitrogen utilisation	GO:0009405, IMP; 	GO		Reduced virulence													gene disruption	AS	AB; MU	11277427	PubMed		Fully pathogenic to leaves but no clear lesions on roots
53	PHI:53	Entrez Protein	AAP19639			PDA1	conditionally dispensable (CD) chromosome		140110	Nectria haematococca (related: Fusarium solani)	77-13-7	Root rot	Dicot	3888	Pea	Pisatin demethylase	GO:0009405, IMP	GO		Reduced virulence													other evidence		MU; KHK	12925899	PubMed	10.1007/s00294-003-0428-x	Expression during early infection stage (pisatin), different GC content, on a dispensable chromosome 
54	PHI:54	Uniprot	Q00845	AAC49420		PELD			140110	Nectria haematococca		Root Rot	Dicot	3888	Pea	Pectate lyase				Unaffected pathogenicity															MU			10.1006/abbi.1996.0346	Expression during penetration
55	PHI:55	Entrez Protein	AAB08104		C4	PKS1			5016	Cochliobolus heterostrophus	C4	Leaf blight	Monocot	4577	Maize	Polyketide synthase	GO:0009405, IMP; GO:0044412	GO	T-toxin production	Reduced virulence		No	No	Yes									gene disruption		MU	8953776	PubMed	10.1105/tpc.8.11.2139	
56	PHI:56	Entrez Protein	AAC49521		Guy11	PMK1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)	Guy11	Rice blast	Monocot	4530	Rice	MAP kinase	GO:0009405, IMP; GO:0044409, IMP; GO:0044412, IMP; GO:0004707, IMP	GO		Loss of pathogenicity 		Yes	Yes	Yes	Wild type	Sterile							gene deletion; complementation		MU	8946911; 11006342	PubMed		FUS3/KSS1 homologue; gene deletion, with complementation in S. cerevisiae
57	PHI:57	Entrez Protein	AAC32736		FBD11	PRF1			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	Transcription factor	GO:0009405, IMP	GO		Loss of pathogenicity 	Yes												gene disruption		MU	8612587; 10402430 	PubMed		
58	PHI:58	Entrez Protein	BAA13009		104-T	SCD1			5462	Colletotrichum lagenarium	9201Y	Anthracnose	Dicot	3659	Cucumber	Scytalone dehydratase 	GO:0009405, IMP; GO:0044409, IMP, GO:0030411, NAS	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	No Data									gene deletion; complementation		MU; KHK	8953707	PubMed		melanin mutant complemented with wild-type gene sequence
59	PHI:59	Entrez Protein	BAA18962		104-T	THR1			5462	Colletotrichum lagenarium	104-T	Anthracnose	Dicot	3659	Cucumber	Reductase	GO:0009405, IMP; GO:0044409	GO	Melanin biosynthesis	Reduced virulence		Yes	Yes	See publication									gene disruption		MU; KHK	8672814	PubMed		
60	PHI:60	Entrez Protein	AAB36607		SB111a	TOXA			5017	Cochliobolus carbonum		Leaf spot	Monocot	4577	Maize	Toxin Pump			toxin secretion	Lethal													gene disruption		MU; JA	8704997	PubMed		
61	PHI:61	Entrez Protein	AAA21151		ATCC 10261	BGL2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Cell wall 1,3-beta-glucosyltransferase (bgl2p)	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9043114	PubMed		
62	PHI:62	Entrez Protein	AAB81286		B792	caRSR1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Cell morphogenesis	GO:0009405, IMP	GO		Reduced virulence							Reduced	reduced					gene disruption; complementation		TKB	9308185	PubMed		
65	PHI:65	Entrez Protein	AAC49838		EP155	CPGB-1			5116	Cryphonectria parasitica	EP155	Chesnut blight	Dicot	134033	American Chestnut tree	G beta protein subunit	GO:0009405, IMP	GO		Reduced virulence					Reduced								gene disruption		TKB	9353946	PubMed		
66	PHI:66	Entrez Protein	AAC05307			CPP1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Tyrosine phosphatase	GO:0009405, IMP	GO	VH1 dual specificity protein phosphatase	Reduced virulence							Reduced						gene disruption; complementation		TKB	9398674; 9890266 	PubMed		
67	PHI:67	Entrez Protein	CAA54129		1001 (ATCC 64385)	MKC1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	MAP kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9009353; 9493378; 16179009	PubMed	10.1111/j.1365-3083.2005.01657.x	SLT2 homologue
68	PHI:68	Entrez Protein	AAA34368		SS	SAP1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
68	PHI:68	Entrez Protein	AAA34368		SS	SAP1			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	3885	Bean	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		Phaseolus vulgaris cv. Hiltrud
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	3570	Carnation	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA			40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	13546	Gerbera	Cutinase				Unaffected pathogenicity		No	No	No									gene disruption		TKB; KHK	9002270	PubMed		Tested on gerbera flowers
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA			40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	4081	Tomato	Cutinase				Unaffected pathogenicity		No	No	No									gene disruption		TKB; KHK	9002270	PubMed		Tested on tomato fruits.
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	13546	Gerbera	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		
69	PHI:69	Entrez Protein	CAA93255		SAS56	CUTA		PHI:541	40559	Botrytis cinerea	B05.10	Grey mold rot	Dicot	4081	Tomato	Cutinase				Unaffected pathogenicity													gene disruption	JVK	SH		Not in PubMed		Tomato cv. Paradiser
70	PHI:70	Entrez Protein	CAA78400		race 5	ECP1			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Extracellular Protein 	GO:0009405, IMP	GO		Reduced virulence						Reduced							gene deletion		TKB; KHK	0894-0282	WoS		
71	PHI:71	Entrez Protein	CAA78401		race 5	ECP2			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Effector protein	GO:0009405, IMP	GO		Reduced virulence					Reduced	Reduced							gene deletion		TKB; KHK	0894-0282	Not in PubMed		
71	PHI:71	Entrez Protein	CAA78401		race 5	ECP2			5499	Cladosporium fulvum	race 5	Leaf mold	Dicot	4081	Tomato	Effector protein				Effector (plant avirulence determinant)													gene deletion		TKB; KHK	9756710; 9671796	PubMed	10.1006/fgbi.1998.1076	Virulent on tomato plants possessing the Cf-ECP2 resistance gene
72	PHI:72	Entrez Protein	AAM21050		CAI4	SAP2			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
72	PHI:72	Entrez Protein	AAM21050		CAI4	SAP2			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10320576; 10569785; 10540295; 16227594	PubMed		
73	PHI:73	Entrez Protein	AAA34372		SS	SAP3			5476	Candida albicans	CAI-4	Candidiasis		10141	Guinea pig	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
73	PHI:73	Entrez Protein	AAA34372		SS	SAP3			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Aspartyl proteinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		TKB	9284116; 9485603; 9529523; 9841840; 10569785; 10540295 	PubMed		
75	PHI:75	Entrez Protein	AAD46575		JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		7137	Galleria mellonella		GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation	AI	KHK; MU	15972469	PubMed	10.1128/IAI.73.7.3842-3850.2005	Tested in G.mellonella caterpillars in the final instar larval stage
75	PHI:75	Entrez Protein	AAD46575		JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		9986	Rabbit	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		KHK; MU	9389652	PubMed		
75	PHI:75	Entrez Protein	AAD46575		JEC21	GPA1			5207	Cryptococcus neoformans	H99	Cryptococcosis		6239	Nematode	G alpha protein subunit	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		KHK; MU	12438649	PubMed	10.1073/pnas.232568599	Tested in C.elegans strain N2 Bristol
76	PHI:76	Entrez Protein	AAC49724		FB1	GPA1			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
77	PHI:77	Entrez Protein	AAC49725		FB1	GPA2			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
78	PHI:78	Entrez Protein	AAC49726		FB1	GPA3			5270	Ustilago maydis	FB1, FB2, CL13, SG200	Corn smut	Monocot	4577	Maize	G alpha protein subunit	GO:0009405, IMP	GO		Loss of pathogenicity 	Yes												gene disruption		MU	9155019; 11043465	PubMed		
79	PHI:79	Entrez Protein	AAC49727		FB1	GPA4			5270	Ustilago maydis	FB1, FB2	Corn smut	Monocot	4577	Maize	G alpha protein subunit				Unaffected pathogenicity													gene disruption		MU	9155019	PubMed		
80	PHI:80	Entrez Protein	AAB39507			TOP1 			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Topoisomerase I	GO:0009405, IMP	GO		Reduced virulence													gene disruption; complementation		TKB	9043115	PubMed		
81	PHI:81	Entrez Protein	AAB66482		70-15	MAC1			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	Adenylate cyclase	GO:0009405, IMP	GO	cAMP signalling	Reduced virulence													gene deletion		MU	9401122; 11006342 	PubMed	10.1105/tpc.9.11.1973	Pleiotropic effects of mutant allele; Partial gene deletion
82	PHI:82	Entrez Protein	AAB65425		70-15	MAGA			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	G alpha protein subunit				Unaffected pathogenicity		No	No	No	Wild type	No mature asci	Wild type						gene deletion		MU	9390422	PubMed		Partial gene deletion
83	PHI:83	Entrez Protein	AAB65426		70-15	MAGB			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	G alpha protein subunit	GO:0009405, IMP; GO:0044409, IMP; GO:0030437, IMP;	GO	cAMP signalling	Reduced virulence		Yes	 Yes	No Data	Reduced	No perithecia formation	Reduced						gene disruption; complementation		MU	9390422	PubMed		
84	PHI:84	Entrez Protein	AAB65427		70-15	MAGC			148305	Magnaporthe oryzae (related: Magnaporthe grisea)		Rice blast	Monocot	4530	Rice	G alpha protein subunit	GO:0030437, IMP	GO		Unaffected pathogenicity													gene deletion		MU	14667055	PubMed		Partial gene deletion
85	PHI:85	Entrez Protein	AAB68613			CLA4			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Protein Kinase	GO:0009405, IMP	GO		Reduced virulence													gene disruption		MU	9259554; 10816502 	PubMed		
86	PHI:86	Entrez Protein	AAA64692			CPH1		PHI:87	5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Regulatory protein	GO:0009405, IGI; GO:0044412	GO		Loss of pathogenicity 				Yes									gene disruption; complementation		TKB	9298905; 10377153; 10816502; 11595734; 11796627 	PubMed		
87	PHI:87	Entrez Protein	CAA83640		ATCC10231	EFG1		PHI:86	5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Transcription factor	GO:0009405, IGI	GO		Loss of pathogenicity 													gene disruption; complementation		TKB	9298905; 10377153; 10816502; 11595734; 11796627; 12798685	PubMed		
87	PHI:87	Entrez Protein	CAA83640		ATCC10231	EFG1			5476	Candida albicans	CAI-4	Candidiasis		10090	Mouse	Transcription factor	GO:0009405, IMP	GO	Ras-protein kinase A	Reduced virulence													gene disruption; complementation		TKB	15760450; 10816502; 11595734; 12798685	PubMed	10.1111/j.1462-5822.2004.00476.x	
88	PHI:88	Entrez Protein	AAA85279		70	PECA			5059	Aspergillus flavus	12		Dicot	3635	Cotton	Polygalacturonase	GO:0009405, IMP; GO:0044412	GO		Reduced virulence				Yes									gene deletion; complementation		TKB; KHK	9293005	PubMed		
89	PHI:89	Entrez Protein	AAB97372		H99	CNA1			5207	Cryptococcus neoformans	M049	Cryptococcosis		9986	Rabbit	Calcineurin A catalytic subunit/ Serine/threonine phosphatase 2B	GO:0009405, IMP	GO		Loss of pathogenicity 													gene disruption; complementation		MU; KHK	9184205	PubMed	10.1093/emboj/16.10.2576	
